subject,rt,stim,se,category,response
14,2371,1463.jpg,81,PositiveNonsocial,1
14,1628,2597.jpg,81,NeutralSocial,1
14,885,1440.jpg,81,PositiveNonsocial,1
14,988,5910.jpg,81,PositiveNonsocial,0
14,2568,2398.jpg,81,PositiveSocial,0
14,932,5600.jpg,81,PositiveNonsocial,1
14,1417,4610.jpg,81,PositiveSocial,1
14,1637,1220.jpg,81,NegativeNonsocial,1
14,830,9611.jpg,81,NegativeNonsocial,1
14,1560,2221.jpg,81,NeutralSocial,1
14,1439,7230.jpg,81,PositiveNonsocial,1
14,1649,3101.jpg,81,NegativeSocial,1
14,1335,7506.jpg,81,NeutralSocial,1
14,1146,7501.jpg,81,PositiveNonsocial,1
14,862,2095.jpg,81,NegativeSocial,1
14,1124,5760.jpg,81,PositiveNonsocial,1
14,2230,9830.jpg,81,NegativeNonsocial,1
14,802,9471.jpg,81,NegativeNonsocial,1
14,1354,9253.jpg,81,NegativeSocial,1
